requests,memory,threads,cpu,anomaly
1437.0,20872234.0,114.0,0.0531514715289156,1
1437.0,20872234.0,114.0,0.0531514715289156,1
1437.3333333333333,20800922.0,114.0,0.0011936679729921,1
1437.3333333333333,20800922.0,114.0,0.0011936679729921,1
1437.6666666666667,20803354.0,114.0,0.0026413200452434,1
1437.6666666666667,20803354.0,114.0,0.0026413200452434,1
1438.0,20803498.0,114.0,0.0016103529001579,1
1438.0,20803498.0,114.0,0.0016103529001579,1
1444.3333333333333,22415289.0,23.0,0.0409854781247818,1
1444.6666666666667,22415721.0,23.0,0.0853291825370056,1
1445.0,22677865.0,23.0,0.0855305195280409,1
1445.3333333333333,22678777.0,23.0,0.0850550340517851,1
1445.6666666666667,22679337.0,23.0,0.0518224519075556,1
1446.6666666666667,22943270.0,24.0,0.0201385937026366,1
1448.3333333333333,22958182.0,27.0,0.0962146262178619,1
1448.6666666666667,22960886.0,23.0,0.0268181571165641,1
1088.25,357484303.0,26.0,0.0025269836378789,1
69.6,300461864.0,29.0,0.0689161855697195,1
71.4,300991516.0,26.0,0.0204951830453378,1
72.2,300993961.0,23.0,0.1702130585955788,1
75.6,278582879.0,29.0,0.0745767170531551,1
77.6,279195410.0,32.0,0.2172161794208843,1
77.8,279416978.0,23.0,0.1667314344180186,1
80.4,280188964.0,23.0,0.2946163741414723,1
86.4,281376307.0,23.0,0.4312091841855459,1
90.0,427179345.0,29.0,0.0140884824648575,1
92.0,278375190.0,31.0,0.0257591317459639,1
93.6,278573547.0,29.0,0.0331864087071164,1
94.6,278502313.0,23.0,0.2726492051526578,1
96.8,279115662.0,32.0,0.2582736468498289,1
99.0,279176960.0,23.0,0.325612632918209,1
